customer_id,email,signup_date,channel,region,channel_email,channel_instagram,channel_website,channel_referral,day_of_week,month,season
1000,user0@example.com,2023-02-05,email,Central,1,0,0,0,6,2,1
1001,user1@example.com,2023-11-06,website,North,0,0,1,0,0,11,4
1002,user2@example.com,2023-09-19,email,South,1,0,0,0,1,9,4
1003,user3@example.com,2023-06-25,email,South,1,0,0,0,6,6,3
1004,user4@example.com,2023-06-23,website,Central,0,0,1,0,4,6,3
1005,user5@example.com,2023-12-10,website,South,0,0,1,0,6,12,1
1006,user6@example.com,2023-02-04,instagram,South,0,1,0,0,5,2,1
1007,user7@example.com,2023-10-06,email,Central,1,0,0,0,4,10,4
1008,user8@example.com,2023-03-22,email,North,1,0,0,0,2,3,2
1009,user9@example.com,2023-02-07,email,North,1,0,0,0,1,2,1
1010,user10@example.com,2023-07-30,instagram,South,0,1,0,0,6,7,3
1011,user11@example.com,2024-01-26,email,South,1,0,0,0,4,1,1
1012,user12@example.com,2023-10-22,email,North,1,0,0,0,6,10,4
1013,user13@example.com,2023-11-01,instagram,South,0,1,0,0,2,11,4
1014,user14@example.com,2023-10-14,email,South,1,0,0,0,5,10,4
1015,user15@example.com,2023-11-11,referral,South,0,0,0,1,5,11,4
1016,user16@example.com,2023-07-25,website,South,0,0,1,0,1,7,3
1017,user17@example.com,2023-02-21,website,Central,0,0,1,0,1,2,1
1018,user18@example.com,2023-12-02,instagram,North,0,1,0,0,5,12,1
1019,user19@example.com,2023-06-30,website,Central,0,0,1,0,4,6,3
1020,user20@example.com,2023-07-20,instagram,Central,0,1,0,0,3,7,3
1021,user21@example.com,2023-05-29,website,South,0,0,1,0,0,5,2
1022,user22@example.com,2023-03-15,email,South,1,0,0,0,2,3,2
1023,user23@example.com,2024-01-06,instagram,South,0,1,0,0,5,1,1
1024,user24@example.com,2023-11-09,email,Central,1,0,0,0,3,11,4
1025,user25@example.com,2023-09-15,instagram,Central,0,1,0,0,4,9,4
1026,user26@example.com,2023-06-10,email,Central,1,0,0,0,5,6,3
1027,user27@example.com,2023-11-26,email,South,1,0,0,0,6,11,4
1028,user28@example.com,2023-08-07,email,Central,1,0,0,0,0,8,3
1029,user29@example.com,2023-06-27,instagram,North,0,1,0,0,1,6,3
1030,user30@example.com,2023-06-30,email,Central,1,0,0,0,4,6,3
1031,user31@example.com,2023-04-01,email,North,1,0,0,0,5,4,2
1032,user32@example.com,2023-02-06,instagram,Central,0,1,0,0,0,2,1
1033,user33@example.com,2023-08-10,email,Central,1,0,0,0,3,8,3
1034,user34@example.com,2023-12-22,instagram,North,0,1,0,0,4,12,1
